Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality
History Of Software Configuration Management,History Of Software Configuration Management,4,0,4,0,0,0,7734,7,29,0.333333,0.023216
Maniac Ii,Maniac Ii,4,0,4,0,0,0,1725,7,29,0.666667,0.04247
Heinrich Schliemann,Heinrich Schliemann,2,0,2,0,0,0,8916,0,2,0,0.003383
Binary Number,Binary Number,7,0,7,0,0,0,7587,7,29,0.309524,0.064372
Computational Geometry,Computational Geometry,2,0,2,0,0,0,9118,7,8,1,0.028796
Selectron Tube,Selectron Tube,2,0,2,0,0,0,1457,7,15,1,0.01692
Kilowatt,Kilowatt,2,0,2,0,0,0,7687,7,29,0,0.00807
Ieee 1394,Ieee 1394,4,0,4,0,0,0,7287,7,29,0.666667,0.025319
The Wrap,The Wrap,2,0,2,0,0,0,1057,2,5,0.5,0.011621
Identifier,Identifier,4,0,4,0,0,0,278,8,40,0.25,0.096734
Bipolar Junction Transistor,Bipolar Junction Transistor,6,0,6,0,0,0,7909,7,29,0.333333,0.05939
Mumblecore,Mumblecore,2,0,2,0,0,0,2338,1,31,1,0.014162
Allen Coombs,Allen Coombs,2,0,2,0,0,0,7952,7,29,0,0.00807
Mos:List,Mos:List,2,0,2,0,0,0,9045,7,5,0,0.012693
Human–Computer Interaction,Human–Computer Interaction,4,0,4,0,0,0,321,7,8,0.333333,0.111872
Mgm+,Mgm+,2,0,2,0,0,0,9047,2,5,1,0.035092
Primary School,Primary School,3,9,12,1,313.159847,0,8362,0,2,0.015152,0.019233
Herbert A. Simon,Herbert A. Simon,3,0,3,0,0,0,1925,8,29,0,0.045033
Maniac I,Maniac I,4,0,4,0,0,0,1726,7,29,0.666667,0.04247
Netbsd,Netbsd,6,0,6,0,0,0,1357,7,3,0.266667,0.090544
Arithmometer,Arithmometer,2,0,2,0,0,0,7936,7,29,0,0.00807
Rakuten Tv,Rakuten Tv,2,0,2,0,0,0,1084,2,5,1,0.035092
Eckert–Mauchly Computer Corporation,Eckert–Mauchly Computer Corporation,4,0,4,0,0,0,7828,7,29,0.666667,0.04247
History Of The World Wide Web,History Of The World Wide Web,4,0,4,0,0,0,7731,7,29,0.333333,0.023216
William Faulkner,William Faulkner,2,0,2,0,0,0,1904,2,5,0,0.004214
Peter Murray-Rust,Peter Murray-Rust,2,0,2,0,0,0,892,1,31,0.5,0.020262
Make (Magazine),Make (Magazine),2,0,2,0,0,0,2345,1,31,1,0.014162
Raytheon Technologies,Raytheon Technologies,4,0,4,0,0,0,1709,7,29,0.666667,0.04247
Besk,Besk,4,0,4,0,0,0,7924,7,29,0.666667,0.04247
Advertising Age,Advertising Age,2,0,2,0,0,0,9068,2,5,1,0.035092
Sumlock Anita Calculator,Sumlock Anita Calculator,2,0,2,0,0,0,7144,7,29,0,0.00807
Rooting (Android),Rooting (Android),2,0,2,0,0,0,2389,2,31,0.5,0.036612
Requirements Analysis,Requirements Analysis,2,0,2,0,0,0,698,7,8,1,0.028796
Weizac,Weizac,4,0,4,0,0,0,1691,7,29,0.666667,0.04247
Czech Language,Czech Language,2,0,2,0,0,0,6502,1,31,0.5,0.03067
Arte,Arte,2,0,2,0,0,0,1953,2,5,0,0.01068
Astrolabe,Astrolabe,2,0,2,0,0,0,7933,7,29,0,0.00807
Computational Mathematics,Computational Mathematics,2,0,2,0,0,0,9117,7,8,1,0.028796
Nickelodeon,Nickelodeon,2,0,2,0,0,0,6953,2,5,0.5,0.010552
Form Factor (Design),Form Factor (Design),3,0,3,0,0,0,8036,7,8,0.5,0.033348
Software Framework,Software Framework,2,0,2,0,0,0,683,7,8,1,0.028796
University Of Pennsylvania,University Of Pennsylvania,4,0,4,0,0,0,1693,7,29,0.666667,0.04247
Michelle Obama,Michelle Obama,2,0,2,0,0,0,6955,2,5,0.5,0.010552
Secondary Storage,Secondary Storage,3,0,3,0,0,0,1428,7,29,0,0.011131
Arthur W. Burks,Arthur W. Burks,2,0,2,0,0,0,7934,7,29,0,0.00807
Computer Port (Hardware),Computer Port (Hardware),4,0,4,0,0,0,7296,7,29,0.666667,0.025319
Metropolitan-Vickers,Metropolitan-Vickers,2,0,2,0,0,0,7647,7,29,0,0.00807
Bell Punch,Bell Punch,2,0,2,0,0,0,7915,7,29,0,0.00807
Bombe,Bombe,3,0,3,0,0,0,7473,7,29,0,0.010294
Network Architecture,Network Architecture,2,0,2,0,0,0,741,7,8,1,0.028796
Experimental Archaeology,Experimental Archaeology,1,15,16,0.434783,231.547175,0,8917,0,2,0.004167,0.007841
Data Storage,Data Storage,2,0,2,0,0,0,8121,7,3,0.5,0.021967
Polish Cipher Bureau,Polish Cipher Bureau,2,0,2,0,0,0,7610,7,29,0,0.00807
Programming Team,Programming Team,2,0,2,0,0,0,708,7,8,1,0.028796
Ubiquitous Computing,Ubiquitous Computing,3,0,3,0,0,0,669,7,8,0.5,0.033348
Denise Schmandt-Besserat,Denise Schmandt-Besserat,2,0,2,0,0,0,7845,7,29,0,0.00807
Webtoon,Webtoon,2,0,2,0,0,0,2304,1,31,1,0.014162
Tape Drive,Tape Drive,5,0,5,0,0,0,722,7,3,0.15,0.081725
Celluloid,Celluloid,2,0,2,0,0,0,7883,7,29,0,0.00807
Data,Data,2,0,2,0,0,0,1377,6,15,0,0.036112
Minicomputer,Minicomputer,14,0,14,0,0,0,1717,7,39,0.186813,0.153238
Roald Dahl,Roald Dahl,2,0,2,0,0,0,1080,2,5,0,0.01068
Optical Mouse,Optical Mouse,5,0,5,0,0,0,2027,7,29,0.4,0.026772
Ibm 650,Ibm 650,6,0,6,0,0,0,1371,7,29,0.333333,0.071691
Ncr Corporation,Ncr Corporation,3,0,3,0,0,0,2036,7,29,0.5,0.01441
Paste (Magazine),Paste (Magazine),2,0,2,0,0,0,6950,2,5,0.5,0.010552
Monolithic Integrated Circuit,Monolithic Integrated Circuit,3,0,3,0,0,0,2044,7,29,0.5,0.01441
Information Age,Information Age,5,0,5,0,0,0,7716,7,3,0.2,0.04596
Redbox,Redbox,2,0,2,0,0,0,1083,2,5,1,0.035092
Khan Academy,Khan Academy,2,0,2,0,0,0,960,1,31,0.5,0.04276
S-100 Bus,S-100 Bus,11,0,11,0,0,0,7189,7,38,0.290909,0.104277
Norm Macdonald: Nothing Special,Norm Macdonald: Nothing Special,2,0,2,0,0,0,6952,2,5,0.5,0.010552
Floating-Point Arithmetic,Floating-Point Arithmetic,10,0,10,0,0,0,7181,7,37,0.1,0.064185
Electromechanics,Electromechanics,2,0,2,0,0,0,7821,7,29,0,0.00807
Bank Switching,Bank Switching,8,0,8,0,0,0,1382,7,28,0.142857,0.080249
Primetime Emmy Award For Outstanding Drama Series,Primetime Emmy Award For Outstanding Drama Series,2,0,2,0,0,0,1088,2,5,0,0.01068
Atomic Energy Research Establishment,Atomic Energy Research Establishment,2,0,2,0,0,0,7927,7,29,0,0.00807
Collaborative Writing,Collaborative Writing,2,0,2,0,0,0,6506,1,31,0.5,0.020262
Computer File,Computer File,2,0,2,0,0,0,9076,7,3,0,0.012739
Alan Turing,Alan Turing,2,0,2,0,0,0,7955,7,29,0,0.00807
Gchq,Gchq,2,0,2,0,0,0,7786,7,29,0,0.00807
Binary-Coded Decimal,Binary-Coded Decimal,7,0,7,0,0,0,7167,7,37,0.071429,0.030301
Computer Museum,Computer Museum,3,0,3,0,0,0,2247,7,3,0.333333,0.025132
Cowboy Coding,Cowboy Coding,3,0,3,0,0,0,8001,1,31,0.333333,0.015614
Formal Language,Formal Language,2,0,2,0,0,0,9092,7,8,1,0.028796
Shift Register,Shift Register,3,0,3,0,0,0,652,8,29,0,0.019082
Free Software Definition,Free Software Definition,2,0,2,0,0,0,996,1,31,1,0.039509
Vse (Operating System),Vse (Operating System),2,0,2,0,0,0,815,7,3,0,0.005876
Moore School Of Electrical Engineering,Moore School Of Electrical Engineering,2,0,2,0,0,0,7639,7,29,0,0.00807
Univac 1103,Univac 1103,2,0,2,0,0,0,7124,7,29,0,0.00807
Initial Public Offering,Initial Public Offering,4,0,4,0,0,0,1771,2,5,0,0.025873
Friden Flexowriter,Friden Flexowriter,3,0,3,0,0,0,1963,7,29,0,0.011818
Harry Wimperis,Harry Wimperis,2,0,2,0,0,0,7764,7,29,0,0.00807
Adam West,Adam West,2,0,2,0,0,0,1957,2,5,0,0.004214
Cinema Of Transgression,Cinema Of Transgression,2,0,2,0,0,0,8002,1,31,1,0.014162
Tandy Corporation,Tandy Corporation,7,93,100,0.283975,14056.669386,0,9252,7,33,0.016831,0.068284
Breadboard,Breadboard,2,0,2,0,0,0,8039,7,28,0,0.006243
North Korea,North Korea,5,0,5,0,0,0,6951,2,17,0.4,0.05177
Dawon Kahng,Dawon Kahng,3,0,3,0,0,0,7851,7,29,0.333333,0.055301
Ibm 705,Ibm 705,5,0,5,0,0,0,1369,7,29,0.45,0.068514
Science Museum (London),Science Museum (London),2,0,2,0,0,0,2252,7,26,0.5,0.014123
B Movies (Exploitation Boom),B Movies (Exploitation Boom),2,0,2,0,0,0,8010,1,31,1,0.014162
Automated Planning And Scheduling,Automated Planning And Scheduling,2,0,2,0,0,0,9126,7,8,1,0.028796
Logician,Logician,2,0,2,0,0,0,7673,7,29,0,0.00807
Fujic,Fujic,4,0,4,0,0,0,7803,7,29,0.666667,0.04247
Outline Of Computer Science,Outline Of Computer Science,2,0,2,0,0,0,731,7,8,1,0.028796
Enterprise Software,Enterprise Software,3,0,3,0,0,0,1002,7,8,0.333333,0.044972
Decimal,Decimal,3,0,3,0,0,0,7850,7,29,0.333333,0.032608
Software Library,Software Library,2,0,2,0,0,0,8028,7,28,0,0.02909
Open-Notebook Science,Open-Notebook Science,3,0,3,0,0,0,273,1,31,0.5,0.08441
Crowdsourcing,Crowdsourcing,2,0,2,0,0,0,6505,1,31,0.5,0.020262
Multiprocessing,Multiprocessing,5,0,5,0,0,0,619,7,8,0.15,0.044459
Robert Dennard,Robert Dennard,3,0,3,0,0,0,2004,7,29,0.5,0.01441
Navier–Stokes Equations,Navier–Stokes Equations,2,0,2,0,0,0,7635,7,29,0,0.00807
Secondary Emission,Secondary Emission,2,0,2,0,0,0,7163,7,29,0,0.00807
W.J. Eckert,W.J. Eckert,2,0,2,0,0,0,7112,7,29,0,0.00807
Citizen Science,Citizen Science,3,0,3,0,0,0,6507,1,31,0.166667,0.024397
Citizen Media,Citizen Media,2,0,2,0,0,0,6508,1,31,0.5,0.020262
Primetime Emmy Award,Primetime Emmy Award,4,0,4,0,0,0,1044,2,5,0.166667,0.015835
Independent Soft Drink,Independent Soft Drink,2,0,2,0,0,0,2361,1,31,1,0.014162
Knowledge Representation And Reasoning,Knowledge Representation And Reasoning,2,0,2,0,0,0,756,7,8,1,0.028796
American Telephone & Telegraph Company,American Telephone & Telegraph Company,2,0,2,0,0,0,7948,7,29,0,0.00807
Openness,Openness,2,0,2,0,0,0,900,1,31,0.5,0.020262
Software Configuration Management,Software Configuration Management,2,0,2,0,0,0,690,7,8,1,0.028796
Peer Review,Peer Review,3,0,3,0,0,0,268,1,31,0.5,0.08441
Oberkommando Der Wehrmacht,Oberkommando Der Wehrmacht,2,0,2,0,0,0,7627,7,29,0,0.00807
Open Knowledge Foundation,Open Knowledge Foundation,2,0,2,0,0,0,924,1,31,0.5,0.020262
Avidac,Avidac,4,0,4,0,0,0,7965,7,29,0.666667,0.04247
Gpl,Gpl,2,0,2,0,0,0,8035,7,15,0,0.011404
Dual In-Line Package,Dual In-Line Package,6,0,6,0,0,0,801,7,37,0.133333,0.030479
Plessey,Plessey,2,0,2,0,0,0,7614,7,29,0,0.00807
Application-Specific Integrated Circuit,Application-Specific Integrated Circuit,5,0,5,0,0,0,7305,7,15,0.3,0.040919
Four-Phase Systems,Four-Phase Systems,3,0,3,0,0,0,7791,7,29,0.5,0.01441
Sexagesimal Number System,Sexagesimal Number System,2,0,2,0,0,0,7161,7,29,0,0.00807
Minicomic Co-Ops,Minicomic Co-Ops,2,0,2,0,0,0,2340,1,31,1,0.014162
Popular Mechanics,Popular Mechanics,4,0,4,0,0,0,2328,7,33,0.166667,0.025492
Plugboard,Plugboard,3,0,3,0,0,0,7613,7,29,0,0.018137
Risc-V,Risc-V,3,0,3,0,0,0,883,7,15,0.333333,0.02758
United States Army,United States Army,2,0,2,0,0,0,7122,7,29,0,0.00807
Fred Brooks,Fred Brooks,2,0,2,0,0,0,8117,7,3,0.5,0.016084
Z/Os,Z/Os,3,0,3,0,0,0,813,7,3,0.333333,0.033936
Ada (Programming Language),Ada (Programming Language),2,0,2,0,0,0,8019,7,8,0.5,0.025554
Enigma (Machine),Enigma (Machine),2,0,2,0,0,0,7815,7,29,0,0.00807
Dynamic Random-Access Memory,Dynamic Random-Access Memory,13,0,13,0,0,0,7235,7,38,0.24359,0.116349
Qemu,Qemu,3,0,3,0,0,0,1355,7,3,0.333333,0.030913
Binary Adder,Binary Adder,2,0,2,0,0,0,7912,7,29,0,0.00807
Interaction Design,Interaction Design,2,0,2,0,0,0,9085,7,8,1,0.028796
